철도운영기관명,선명,역명,철도운영기관코드,선코드,역코드,출입구번호,위치,시작층명,시작운행층수,종료층명,종료운행층수,정원수,정원무게,승강기상태,승강기번호
,9호선,개화,S9,9,0901,2,(1F) 2번출구 옆(2F) 편의점 앞,지상,1,지상,2,15,1000.00,,
,9호선,김포공항,S9,9,0902,,(B1) 안전관리실 옆(B3) 상부본선 승강장 4-2 지점,지하,3,지하,1,15,1000.00,,
,9호선,김포공항,S9,9,0902,,(B1) 안전관리실 앞(B4) 하선 승강장 1-1 지점,지하,4,지하,1,15,1000.00,,
,9호선,김포공항,S9,9,0902,,(B1) 안전관리실 앞(B4) 하선 승강장 1-1 지점,지하,4,지하,1,15,1000.00,,
,9호선,공항시장,S9,9,0903,,"(B1)대합실 표내는 곳 방향 좌측(개화,김포공항역 방면)(B4)하선승강장 6-2 출입구 앞",지하,4,지하,1,15,1000.00,,
,7호선,내방,S1,7,2737,5,5번 출구 측,지하,1,지상,1,24,1600.00,,
,7호선,청담,S1,7,2731,5,5번 출구 측,지하,3,지상,1,15,1000.00,,
,6호선,상수,S1,6,2624,3,3번 출구 측,지하,1,지상,1,15,1000.00,,
,1호선,동대문,S1,1,155,6,6번 출구 측,지하,1,지상,1,15,1000.00,,
,서해선,선부,SW,WS,S25,,"(B1) 표내는곳 내 계단 옆, 발매기 옆(B2) 소사역 방향 승강장 3-4와 4-1 출입문 사이",지하,2,지하,1,15,1000.00,,
,서해선,선부,SW,WS,S25,,"(B1) 표내는곳 내 계단 옆, 씨유 편의점 옆(B2) 원시역 방향 승강장 3-4와 4-1 출입문 사이",지하,2,지하,1,15,1000.00,,
,서해선,선부,SW,WS,S25,"1,2","(1F) 1,2번 출입구 옆(M) 2번 출구 옆 나무데크 정면 방향(B1) 1,2번 출입구 통로",지하,1,지상,1,15,1000.00,,
,서해선,선부,SW,WS,S25,4,(1F) 4번 출입구 옆(B1) 4번 출입구 방풍문 옆,지하,1,지상,1,15,1000.00,,
,서해선,초지,SW,WS,S26,,(B3) 맞이방 측 연결통로/ (B4) 선부역 방향 승강장,지하,4,지하,1,15,1000.00,,
,서해선,초지,SW,WS,S26,,(B2) 5번 출구 측 맞이방 / (B4)선부역 방향 승강장,지하,4,지하,1,15,1000.00,,
,서해선,초지,SW,WS,S26,,(B3) 맞이방 측 연결통로 / (B4) 시우역 방향 승강장,지하,4,지하,1,15,1000.00,,
,서해선,초지,SW,WS,S26,,(B2) 5번 출구 측 맞이방 / (B4) 시우역 방향 승강장,지하,4,지하,1,15,1000.00,,
,9호선,샛강,S9,9,0916,,지하2층 대합실 및 지하1층 대합실 간,지하,2,지하,1,,450.00,,
,9호선,신방화,S9,9,0904,,(B1) 개화역 방향 개찰구 앞(B2) 개화역 방향 승강장 3-1 출입문 앞,지하,2,지하,1,15,1000.00,,
,9호선,노들,S9,9,0918,,(B2) 흑석역 방향 승강장 4-4 출입문 앞(B1) 표내는 곳 내측 대합실 흑석역 승강장 방향,지하,2,지하,1,15,1000.00,,
,9호선,노들,S9,9,0918,1,"(1F) 1, 5번 출입구 사이 중간 지점(B1) 1번출구 방향 국민은행 ATM기 옆",지하,1,지상,1,15,1000.00,,
,9호선,노들,S9,9,0918,4,"(중층) 3, 4번 출입구 연결 통로(B1) 3, 4번 출구 방향, 에스컬레이터 9, 10호기 옆",지하,1,지하,1,15,1000.00,,
,9호선,노들,S9,9,0918,3,(1F) 3번 출입구 뒤(중층) 3번출입구 방향,지하,1,지상,1,15,1000.00,,
,9호선,노들,S9,9,0918,5,(1F) 5번 출입구 뒤(B1) 5번 출입구 방향,지하,1,지상,1,15,1000.00,,
,9호선,흑석(중앙대입구),S9,9,0919,,(B2) 노들역 방향 승강장 3-3 출입구 앞(B1) 표 내는 곳 방향,지하,2,지하,1,15,1000.00,,
,9호선,흑석(중앙대입구),S9,9,0919,,(B2) 동작역 방향 승강장 4-2 출입구 앞(B1) 표 내는 곳 방향,지하,2,지하,1,15,1000.00,,
,9호선,흑석(중앙대입구),S9,9,0919,"1,2","(1F) 1,2번 출입구 사이(B1) 표내는 곳 방향, 2번 출입구 방향",지하,1,지상,1,15,1000.00,,
