연번,호선,역  명,관리번호(호기),(근접)출입구번호,시작층(상세위치),시작층(지상_지하),시작층(운행역층),종료층(지상_지하),종료층(운행역층),정원(인원수),정원(중량),승강기 일련번호,데이터 기준일자
1,1호선,서울역(1),내부#1,내부,시청 방면5-1,지하,2,지하,1,11,750,0074-205,2026-02-11
2,1호선,서울역(1),외부#1,2번출구,2번 출구 측,지하,1,지상,1,13,900,0104-656,2026-02-11
3,1호선,서울역(1),외부#2,4번출구,4번 출구 측,지하,1,지상,1,15,1000,0105-867,2026-02-11
4,1호선,서울역(1),외부#3,3번출구,3번 출구 측,지하,1,지상,1,15,1000,0073-979,2026-02-11
5,1호선,시청(1),내부#1,내부,종각 방면3-2,지하,2,지하,1,15,1000,0002-888,2026-02-11
6,1호선,시청(1),내부#2,내부,서울역 방면8-3,지하,2,지하,1,15,1000,0002-887,2026-02-11
7,1호선,시청(1),외부#1,"1,2번출구","1,2번 출구 사이",지하,1,지상,1,15,1000,0002-889,2026-02-11
8,1호선,종각,내부#1,내부,종로3가 방면6-4,지하,2,지하,1,15,1000,0000-506,2026-02-11
9,1호선,종각,내부#2,내부,시청 방면4-4,지하,2,지하,1,15,1000,0000-507,2026-02-11
10,1호선,종각,외부#1,3번출구,3번 출구 측,지하,1,지상,1,15,1000,0000-508,2026-02-11
11,1호선,종각,외부#2,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0113-945,2026-02-11
12,1호선,종로3가(1),내부#1,내부,종로5가 방면5-1,지하,2,지하,1,15,1000,0000-512,2026-02-11
13,1호선,종로3가(1),내부#2,내부,종각 방면6-4,지하,2,지하,1,15,1000,0000-513,2026-02-11
14,1호선,종로3가(1),외부#1,"12,13번출구","12,13번 출구 사이",지하,1,지상,1,15,1000,0073-426,2026-02-11
15,1호선,종로5가,내부#1,내부,동대문(1) 방면8-3,지하,2,지하,1,15,1000,0000-533,2026-02-11
16,1호선,종로5가,내부#2,내부,종로3가 방면3-2,지하,2,지하,1,15,1000,0000-534,2026-02-11
17,1호선,종로5가,외부#1,내부,"8,9번(지하상가) 출구 사이",지하,1,지상,1,15,1150,0155-440,2026-02-11
18,1호선,동대문(1),내부#1,내부,동묘앞 방면10-4,지하,2,지하,1,11,750,0000-906,2026-02-11
19,1호선,동대문(1),내부#2,내부,종로5가 방면2-1,지하,2,지하,1,11,750,0000-907,2026-02-11
20,1호선,동대문(1),외부#1,6번출구,6번 출구 측,지하,1,지상,1,15,1000,0000-905,2026-02-11
21,1호선,동묘앞(1),내부#1,내부,신설동 방면6-2,지하,1,지상,4,15,1000,0000-946,2026-02-11
22,1호선,동묘앞(1),내부#2,내부,신설동 방면10-3,지하,2,지하,1,15,1000,0000-943,2026-02-11
23,1호선,동묘앞(1),내부#3,내부,신설동 방면4-8,지하,2,지하,1,15,1000,0000-947,2026-02-11
24,1호선,동묘앞(1),내부#4,내부,동대문(1) 방면7-3,지하,2,지하,1,15,1000,0000-948,2026-02-11
25,1호선,동묘앞(1),내부#5,내부,동대문(1) 방면1-2,지하,2,지하,1,15,1000,0000-944,2026-02-11
26,1호선,동묘앞(1),외부#1,"1,10번출구","1,10번 출구 사이",지하,1,지상,1,15,1000,0000-945,2026-02-11
27,1호선,동묘앞(1),외부#2,3번출구,3번 출구 측,지하,1,지상,1,15,1000,0000-960,2026-02-11
28,1호선,신설동(1),내부#1,내부,제기동 방면3-4,지하,2,지하,1,15,1000,0083-762,2026-02-11
29,1호선,신설동(1),내부#2,내부,동묘앞 방면8-1,지하,2,지하,1,15,1000,0083-764,2026-02-11
30,1호선,신설동(1),외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0003-532,2026-02-11
31,1호선,신설동(1),외부#2,"2,3번출구","2,3번 출구 사이",지하,1,지상,1,15,1000,0083-761,2026-02-11
32,1호선,신설동(1),외부#3,"4,5번출구","4,5번 출구 사이",지하,1,지상,1,15,1000,0083-763,2026-02-11
33,1호선,제기동,내부#1,내부,청량리 방면9-4,지하,2,지하,1,11,750,0043-600,2026-02-11
34,1호선,제기동,내부#2,내부,신설동 방면2-1,지하,2,지하,1,11,750,0027-701,2026-02-11
35,1호선,제기동,외부#1,1번출구,1번 출구 측,지하,1,지상,1,11,1000,0093-165,2026-02-11
36,1호선,청량리(1),외부#1,6번출구,6번 출구 측,지하,2,지상,1,15,1000,0027-702,2026-02-11
37,1호선,청량리(1),외부#2,2번출구,2번 출구 측,지하,1,지상,1,13,1000,0158-313,2026-02-11
38,2호선,시청(2),내부#1,내부,"충정로 방면6-2, 을지로입구 방면5-3",지하,3,지하,1,13,900,0042-520,2026-02-11
39,2호선,시청(2),외부#1,9번출구,9번 출구 측,지하,1,지상,1,15,1000,0002-886,2026-02-11
40,2호선,을지로입구,내부#1,내부,시청 방면5-3,지하,2,지하,1,15,1000,0003-059,2026-02-11
41,2호선,을지로입구,내부#2,내부,을지로3가 방면6-2,지하,2,지하,1,15,1000,0003-058,2026-02-11
42,2호선,을지로입구,외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0124-101,2026-02-11
43,2호선,을지로입구,외부#2,5번출구,"5,6번 출구 사이",지하,1,지상,1,15,1000,0104-712,2026-02-11
44,2호선,을지로3가(2),내부#1,내부,을지로입구 방면8-3,지하,2,지하,1,15,1000,0042-132,2026-02-11
45,2호선,을지로3가(2),내부#2,내부,을지로4가 방면3-2,지하,2,지하,1,15,1000,0042-133,2026-02-11
46,2호선,을지로4가(2),내부#1,내부,을지로3가 방면3-2,지하,2,지하,1,15,1000,0042-130,2026-02-11
47,2호선,을지로4가(2),내부#2,내부,동대문역사문화공원 방면8-3,지하,2,지하,1,15,1000,0042-131,2026-02-11
48,2호선,을지로4가(2),외부#1,8번출구,8번 출구 측,지하,1,지상,1,15,1000,0102-390,2026-02-11
49,2호선,동대문역사문화공원(2),내부#1,내부,을지로4가 방면8-3,지하,2,지하,1,13,1000,0003-055,2026-02-11
50,2호선,동대문역사문화공원(2),내부#2,내부,신당 방면3-2,지하,2,지하,1,13,1000,0003-056,2026-02-11
51,2호선,동대문역사문화공원(2),외부#1,1번출구,1번 출구 측,지하,1,지상,1,17,1000,0039-324,2026-02-11
52,2호선,신당(2),외부#1,2번출구,2번 출구 측,지하,1,지상,1,15,1000,0004-367,2026-02-11
53,2호선,신당(2),내부#1,내부,동대문역사문화공원 방면3-4,지하,2,지하,1,15,1000,0103-796,2026-02-11
54,2호선,신당(2),내부#2,내부,상왕십리 방면7-4,지하,2,지하,1,15,900,0103-797,2026-02-11
55,2호선,상왕십리,내부#1,내부,신당 방면8-1,지하,2,지하,1,15,1000,0042-156,2026-02-11
56,2호선,상왕십리,내부#2,내부,왕십리 방면3-4,지하,2,지하,1,15,1000,0042-157,2026-02-11
